supergroup_col,supergroup_val,subgroup_col,subgroup_val,DESCRIPTION
TALB,2800,REGC,5,"While REGC > TALB in most cases, in this case REGC = TALB so need both directions"
TALB,5100,REGC,16,"While REGC > TALB in most cases, in this case REGC = TALB so need both directions"
TALB,5200,REGC,17,"While REGC > TALB in most cases, in this case REGC = TALB so need both directions"
TALB,5300,REGC,18,"While REGC > TALB in most cases, in this case REGC = TALB so need both directions"
TALB,6700,REGC,99,"While REGC > TALB in most cases, in this case REGC = TALB so need both directions"
AGE_RDP,1,AGE_BESPOKE,1,bespoke 1: 8 months is subset of RDP 1: 0-4 yrs
AGE_RDP,2,AGE_BESPOKE,2,bespoke 2: 5 yrs is subset of RDP 2: 5-14 yrs
AGE_RDP,4,AGE_BESPOKE,3,bespoke 3: 25 yrs is subset of RDP 4: 25-44 yrs
AGE_RDP,5,AGE_BESPOKE,4,bespoke 4: 45 yrs is subset of RDP 5: 45-64 yrs
AGE_RDP,6,AGE_BESPOKE,5,bespoke 5: 65 yrs is subset of RDP 6: 65+ yrs
AGE_RDP,1,AGE_BESPOKE,6,bespoke 6: 0-2 yrs is subset of RDP 1: 0-4 yrs
AGE_RDP,1,AGE_BESPOKE,7,bespoke 7: 3-4 yrs is subset of RDP 1: 0-4 yrs
AGE_RDP,1,AGE_BESPOKE,8,bespoke 8: 2 yrs is subset of RDP 1: 0-4 yrs
AGE_RDP,3,AGE_BESPOKE,12,bespoke 12: 18-24 yrs (MSD) is subset of RDP 3: 15-24 yrs
AGE_RDP,4,AGE_BESPOKE,13,bespoke 13: 25-39 yrs (MSD) is subset of RDP 4: 25-44 yrs
AGE_RDP,5,AGE_BESPOKE,15,bespoke 15: 55-64 yrs (MSD) is subset of RDP 5: 45-64 yrs
AGE_BESPOKE,1,AGE_8MO,1,"These two are identical, but for some file comparisons the subfile and superfile have different labels"
AGE_BESPOKE,2,AGE_5YO,2,"These two are identical, but for some file comparisons the subfile and superfile have different labels"
AGE_BESPOKE,10,AGE_prim_sec,1,AGE_prim_sec is only used for school measures
AGE_BESPOKE,10,AGE_prim_sec,2,AGE_prim_sec is only used for school measures
rohe,1,SA2,100100,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100200,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,204100,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101600,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101500,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101400,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101300,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101100,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101200,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101000,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100900,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100600,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100800,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100700,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100500,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,100400,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,101700,SA2 have been mapped to Te Hiku rohe
rohe,1,SA2,102000,SA2 have been mapped to Te Hiku rohe
